Date,Strategy_Value,Benchmark_Value
2022-06-27 00:00:00-04:00,137227.73186732052,160596.25205547258
2022-07-04 00:00:00-04:00,138149.56700425743,161006.9341544888
2022-07-11 00:00:00-04:00,129388.19198369911,148665.08949838238
2022-07-18 00:00:00-04:00,125945.20776937892,143730.7387200808
2022-07-25 00:00:00-04:00,131348.6752169246,150984.8702244116
2022-08-01 00:00:00-04:00,133502.40843445229,152756.9870210277
2022-08-08 00:00:00-04:00,140386.58006281755,160818.39143535716
2022-08-15 00:00:00-04:00,144651.1167282081,160750.37428083437
2022-08-22 00:00:00-04:00,149409.37182733268,165712.77384284209
2022-08-29 00:00:00-04:00,157838.70570265333,177835.09519937087
2022-09-05 00:00:00-04:00,153087.42199010155,174713.75540319682
2022-09-12 00:00:00-04:00,149022.19643775807,170144.8330585695
2022-09-19 00:00:00-04:00,148500.83068560204,171066.3547494186
2022-09-26 00:00:00-04:00,147163.0359237672,168618.52536476162
2022-10-03 00:00:00-04:00,133492.62647025925,150885.0268820843
2022-10-10 00:00:00-04:00,150937.66359074943,173526.6058034396
2022-10-17 00:00:00-04:00,147264.48207465012,170920.37945504024
2022-10-24 00:00:00-04:00,151173.47901958172,175295.85570387504
2022-10-31 00:00:00-04:00,155420.4742192013,184591.96177385794
2022-11-07 00:00:00-05:00,159080.78883885246,190526.78399929774
2022-11-14 00:00:00-05:00,158036.89949789582,193970.87136236462
2022-11-21 00:00:00-05:00,160772.92465142568,196556.62397334503
2022-11-28 00:00:00-05:00,160160.0494459832,193237.3528928304
2022-12-05 00:00:00-05:00,163394.45031551865,190626.875235107
2022-12-12 00:00:00-05:00,159318.1988519018,180928.07786963225
2022-12-19 00:00:00-05:00,159039.28129530294,181492.1059662555
2022-12-26 00:00:00-05:00,155962.15537457616,178596.48841528976
2023-01-02 00:00:00-05:00,163536.87996840896,186329.73768999908
2023-01-09 00:00:00-05:00,154869.555768115,177127.94352855947
2023-01-16 00:00:00-05:00,161895.98706107988,184821.68208366437
2023-01-23 00:00:00-05:00,168381.8319180087,190694.6133744338
2023-01-30 00:00:00-05:00,169451.35329507623,192058.48397595595
2023-02-06 00:00:00-05:00,170373.5375376186,192838.82157301155
2023-02-13 00:00:00-05:00,169453.17055988472,189447.88067011544
2023-02-20 00:00:00-05:00,178722.4288260474,196321.74943437718
2023-02-27 00:00:00-05:00,173197.73227554103,184591.27037230865
2023-03-06 00:00:00-05:00,172249.6597431867,183764.62041469265
2023-03-13 00:00:00-04:00,173520.1844804612,187853.9898627639
2023-03-20 00:00:00-04:00,164767.4980674701,178355.36823754082
2023-03-27 00:00:00-04:00,160750.0672070317,175846.62859705984
2023-04-03 00:00:00-04:00,160840.75498130394,176546.16650028533
2023-04-10 00:00:00-04:00,170704.16043271002,188840.3133083482
2023-04-17 00:00:00-04:00,175776.82482169554,191679.57499194576
2023-04-24 00:00:00-04:00,179775.1122937262,193012.10416662603
2023-05-01 00:00:00-04:00,174552.19162603733,188009.95146984933
2023-05-08 00:00:00-04:00,166943.0895260717,180592.18265871197
2023-05-15 00:00:00-04:00,171820.56338207307,182686.44408453524
2023-05-22 00:00:00-04:00,170488.0089426521,177785.91269538418
2023-05-29 00:00:00-04:00,173941.81970472573,184201.09317874003
2023-06-05 00:00:00-04:00,168641.1593208639,178353.59304939167
2023-06-12 00:00:00-04:00,173766.53203442146,182477.29279794855
2023-06-19 00:00:00-04:00,178463.29448751325,184719.57822529651
2023-06-26 00:00:00-04:00,181314.65341989242,182982.6432335106
2023-07-03 00:00:00-04:00,180627.82617910395,182855.55353231684
2023-07-10 00:00:00-04:00,181375.38020976196,186149.76047127598
2023-07-17 00:00:00-04:00,181535.29835979693,189216.06516363678
2023-07-24 00:00:00-04:00,180362.42774395147,188789.69710206488
2023-07-31 00:00:00-04:00,189465.44068822128,198485.13487539993
2023-08-07 00:00:00-04:00,187696.2382009421,198647.8372123083
2023-08-14 00:00:00-04:00,186414.80874414387,197886.0301525583
2023-08-21 00:00:00-04:00,185904.91823755892,197459.725613345
2023-08-28 00:00:00-04:00,189966.89453853734,200066.43999149787
2023-09-04 00:00:00-04:00,196410.3229252687,204192.21237286075
2023-09-11 00:00:00-04:00,200452.5187116633,210317.75505369797
2023-09-18 00:00:00-04:00,202680.57555743586,212223.8369768834
2023-09-25 00:00:00-04:00,206489.82099432903,212886.3459962857
2023-10-02 00:00:00-04:00,202449.3515676935,209534.08177648284
2023-10-09 00:00:00-04:00,198692.9633414779,206321.41121868757
2023-10-16 00:00:00-04:00,204534.30135557248,210546.04247251683
2023-10-23 00:00:00-04:00,212764.07707535056,218399.07976546258
2023-10-30 00:00:00-04:00,204991.98493165377,209657.19489055622
2023-11-06 00:00:00-05:00,199894.2987044861,204925.50474192903
2023-11-13 00:00:00-05:00,199021.12421575995,202566.32206458008
2023-11-20 00:00:00-05:00,204058.95449669842,206864.8966379552
2023-11-27 00:00:00-05:00,204707.10947469118,206636.5754904478
2023-12-04 00:00:00-05:00,204930.62399375899,206080.1249169986
2023-12-11 00:00:00-05:00,198050.06344377075,200904.20563249645
2023-12-18 00:00:00-05:00,194818.2238673069,196252.33503355543
2023-12-25 00:00:00-05:00,204055.32538755465,206837.28868174643
2024-01-01 00:00:00-05:00,207204.45388822042,210279.2994855935
2024-01-08 00:00:00-05:00,205550.68036679598,207497.88771133462
2024-01-15 00:00:00-05:00,202608.27138143478,202680.31153102938
2024-01-22 00:00:00-05:00,199484.28332214543,198822.42240317535
2024-01-29 00:00:00-05:00,197734.17659686768,197295.2639584293
